# ingles	portugues - gerado por docs/gerar-nomes-mob.py
Scorpion	Escorpião
Hornet	Zangão
Willow	Salgueiro
Chonchon	ChonChon
Roda Frog	Sapo de Rodda
Wolf	Lobo
Spore	Esporo
Zombie	Zumbi
Archer Skeleton	Esqueleto Arqueiro
Peco Peco	PecoPeco
Mandragora	Mandrágora
Orc Warrior	Guerreiro Orc
Boa	Jiboia
Soldier Skeleton	Esqueleto Soldado
Anacondaq	Anaconda
Elder Willow	Salgueiro Ancião
Thara Frog	Sapo de Thara
Hunter Fly	Mosca Caçadora
Ghoul	Carniçal
Side Winder	Sorrateiro
Osiris	Osíris
Baphomet	Bafomé
Mummy	Múmia
Steel Chonchon	Chonchon de Aço
Marc	Cavalo-Marinho
Peco Peco Egg	Ovo de PecoPeco
Thief Bug Egg	Ovo de Besouro-Ladrão
Thief Bug	Besouro-Ladrão
Smokie	Fumacento
Mistress	Abelha-Rainha
Bigfoot	Pé-Grande
Nightmare	Pesadelo
Santa Poring	Poring Noel
Lunatic	Lunático
Hydra	Hidra
Swordfish	Peixe-Espada
Pirate Skeleton	Esqueleto Pirata
Crab	Caranguejo
Shellfish	Molusco
Skeleton	Esqueleto
Poison Spore	Esporo Venenoso
Red Plant	Planta vermelha
Blue Plant	Planta Azul
Green Plant	Planta Verde
Yellow Plant	Planta Amarela
White Plant	Planta Branca
Shining Plant	Planta Brilhante
Black Mushroom	Cogumelo Negro
Red Mushroom	Cogumelo Vermelho
Golden Thief Bug	Besouro-Ladrão Dourado
Orc Hero	Orc Herói
Toad	Sapo-Cururu
Dragon Fly	Libélula
Vagabond Wolf	Lobo Errante
Ant Egg	Ovo de Andre
Baphomet Jr.	Bafomé Jr.
Caramel	Caramelo
Coco	Belinha
Desert Wolf	Lobo do Deserto
Baby Desert Wolf	Filhote de Lobo
Dustiness	Poeira
Evil Druid	Druida Maligno
Horn	Besouro-Chifre
Joker	Coringa
Magnolia	Magnólia
Mantis	Louva-a-Deus
Marine Sphere	Esfera Marinha
Marionette	Marionete
Minorous	Minoroso
Moonlight Flower	Flor do Luar
Myst	Névoa
Orc Skeleton	Orc Esqueleto
Orc Zombie	Orc Zumbi
Pharaoh	Faraó
Phen	Fen
Phreeoni	Freeoni
Plankton	Plâncton
Requiem	Réquiem
Sandman	Arenoso
Savage	Selvagem
Savage Babe	Bebê Selvagem
Stainer	Percevejo
Whisper	Sussurro
Nine Tail	Nove Caudas
Chonchon	ChonChon
Whisper	Sussurro
Giant Whisper	Cochicho
Orc Archer	Orc Arqueiro
Orc Lord	Senhor dos Orcs
Mimic	Mímico
Wraith	Alma Penada
Alarm	Alarme
Arclouze	Arclouse
Skeleton Prisoner	Esqueleto Prisioneiro
Zombie Prisoner	Zumbi Prisioneiro
Dark Priest	Sacerdote Maldito
Zealotus	Jirtas
Phendark	Fendark
Ogretooth	Tirfing
Executioner	Executor
Wanderer	Andarilho
Cramp	Cãibra
Brilight	Escaravelho
Iron Fist	Mão de Ferro
High Orc	Grand Orc
Stem Worm	Talo de Verme
Penomena	Penômena
Abysmal Knight	Cavaleiro do Abismo
Desert Wolf	Lobo do Deserto
Savage	Selvagem
Peco Peco Egg	Ovo de PecoPeco
Ant Egg	Ovo de Andre
Cruiser	Soldadinho de Chumbo
Myst Case	Presente
Stormy Knight	Cavaleiro Tempestuoso
Gargoyle	Gárgula
Pest	Peste
Injustice	Injustiçado
Goblin Archer	Goblin Arqueiro
Gryphon	Grifo
Dark Frame	Moldura Maldita
Wild Rose	Rosa Selvagem
Mutant Dragonoid	Dragão Mutante
Wind Ghost	Xamã do Vento
Merman	Tritão
Aster	Estrela do Mar
Bloody Knight	Cavaleiro Sangrento
Clock	Relógio
Alligator	Crocodilo
