# Visuais - GERADO por docs/gerar-visuais.py
# id	aegis	slot	view	nome_ptbr	latam	no_cliente	chao	vestido	veredito
5909	C_Valkyrie_Circlet	topo	940		nao	nao	?	?	SEM TEXTO PTBR
5911	C_Imperial_Feather	meio	935		nao	nao	?	?	SEM TEXTO PTBR
5912	C_Minions_Of_Devil	meio	1036	[Visual] Deviling Companheiro	sim	sim	ok	ok	PRONTO
5913	C_Anemos_Mask	meio	906		nao	nao	?	?	SEM TEXTO PTBR
5914	C_Flutter_Butterfly	baixo			nao	nao	?	?	SEM VIEW
5915	C_Angel_Veil	topo	1379		nao	nao	?	?	SEM TEXTO PTBR
5977	C_Poker_Card_In_Mouth	baixo	889		nao	nao	?	?	SEM TEXTO PTBR
5979	C_Angel_Fluttering	baixo		[Visual] Penas Encantadas	sim	nao	ok	falta	SEM VIEW
5980	C_Classical_Fhat	topo	1381		nao	nao	?	?	SEM TEXTO PTBR
5981	C_Satanic_Chain_P	topo	382		nao	nao	ok	ok	SEM TEXTO PTBR
15825	C_Black_Musang_J	topo	771	[Visual] Quepe Regional Preto	sim	sim	ok	ok	PRONTO
15836	C_Skarlet_Band_EXE	topo	679		nao	nao	?	?	SEM TEXTO PTBR
15838	C_VesperHeadGear_J	topo	1827	[Visual] Proteção de Vesper	sim	sim	ok	ok	PRONTO
15839	C_Droop_Gunslinger_J	topo	1444		nao	nao	?	?	SEM TEXTO PTBR
15840	C_Bio_Protector	meio	1366	[Visual] Óculos de Bioproteção	sim	sim	ok	ok	PRONTO
15841	C_Hat_of_Goggle	topo	1721	[Visual] Capacete com Visores	sim	sim	ok	ok	PRONTO
15842	C_Disapear_Time_J	topo	1998	[Visual] Cartola do Sumiço	sim	sim	ok	ok	PRONTO
15843	C_Hunters_Dinner	topo	2024		nao	nao	?	?	SEM TEXTO PTBR
15844	C_Cow_Hat1_J	topo	1211		nao	nao	?	?	SEM TEXTO PTBR
15846	C_Artist_Silk_Hat	topo	2057		nao	nao	?	?	SEM TEXTO PTBR
15847	C_EXE_Wing_Cap_TH	topo	1597		nao	nao	?	?	SEM TEXTO PTBR
15851	C_Freyja_Crown_J	topo	328	[Visual] Coroa Realeza Gelada	sim	sim	ok	ok	PRONTO
15853	C_Gold_Ingot_Poring_J	topo	887		nao	nao	?	?	SEM TEXTO PTBR
15854	C_Phigasia_Scarf_EXE	topo	2079		nao	nao	?	?	SEM TEXTO PTBR
15858	C_Choco_Banana	topo	2087	[Visual] Cartola Recheada	sim	sim	ok	ok	PRONTO
